,0
0,144.90056246728813
1,153.36552938002748
2,67.01901696814582
3,54.54929289824101
4,59.59902377367537
5,72.25019970323035
6,56.39516773181966
7,50.0417080505179
8,51.85774377182205
9,56.821467246729455
10,60.96571029239459
11,62.14771540648422
12,56.72660505479512
13,48.04370443088928
14,31.579313832396174
15,31.58142167583212
16,26.899197930569752
17,28.422029933028043
18,23.245279683918397
19,23.368501195803965
20,22.721884608856758
21,24.32557206812732
22,27.77605742418987
23,25.56644388318425
24,24.180747261387705
25,24.496832295131544
26,19.261282646415946
27,23.50395026514544
28,26.515538489516832
29,28.459378916525612
30,26.636555746419173
31,29.489666510563026
32,30.117215752497177
33,47.26960274306227
34,53.891579268102305
35,63.78564673789721
36,70.46278663317696
37,82.61729568120428
38,112.3643777633346
39,122.8886873289448
40,134.81075039843327
41,132.12967682638381
42,145.06728326950795
43,155.6318630146024
44,201.80269213912243
45,206.38583025861132
46,203.65991143963024
47,197.61892424283036
48,203.30330637652486
49,226.20288880691575
50,228.0374994608616
51,219.38888536532488
52,229.396967978787
53,219.6830728631975
54,210.67555121623118
55,253.67765997949317
56,230.62358933222228
57,211.2463082107136
58,173.37778423845387
59,140.50553007911518
60,168.63090141331196
61,152.78898644124442
62,138.185695514397
63,119.13031795684986
64,110.16418043545053
65,96.85361371934603
66,108.25493389256023
67,108.97220052151951
68,87.9575753567862
69,71.36390249276185
70,69.68506349053999
71,91.02482529670341
72,101.89764468880787
73,70.31174633960642
74,73.67952346392082
75,75.54990001186555
76,81.31341923700656
77,104.68351080532877
78,102.5722854946317
79,115.28737377449356
80,95.03068672586956
81,107.96481330051597
82,151.83804576496306
83,141.84495398874142
84,120.3833952686533
85,104.38658676585322
86,110.5529456400467
87,144.54132602640584
88,147.95495926076674
89,142.84535527211523
90,142.2008547897732
91,132.34886904199348
92,144.74743284635463
93,172.40782916363003
94,181.4640507104954
95,164.7268678584598
96,159.89060662267678
97,157.4424279826327
98,227.60679577875968
99,209.07545429720355
100,202.5735287275086
101,194.47287836034948
102,160.5444683649436
103,217.92827617941387
104,194.77156176655524
105,187.04843656562755
106,193.33530339273395
107,188.93083528128446
108,190.61427080677535
109,223.07720998405227
110,228.17974905712165
111,215.937736488571
112,215.93692519665845
113,233.78928174448237
114,273.0906740990408
115,274.986699279933
116,288.03114249490176
117,267.01775547301565
118,267.0004035273003
119,284.3425920211574
120,353.61087202124173
121,331.7299503216903
122,337.0771196693248
123,339.6983019993265
124,333.71054877612966
125,435.67605730304916
126,441.72025363430026
127,443.95566443408467
128,407.7641305757938
129,422.8881553402969
130,517.341827531854
131,517.1205576676816
132,491.6476681179253
133,513.7315179525489
134,502.43133669288113
135,497.3458210455646
136,619.4150841302585
137,582.9542038439844
138,551.2550071433581
139,540.9800762459881
140,511.82000726016634
141,603.5340051877581
142,584.7540291294629
143,539.9502225798831
144,525.9545207076727
145,495.4364437295672
146,484.49251689401297
147,587.6860424064245
148,584.220713565701
149,548.350301929328
150,545.3665875262641
151,540.6006824180905
152,652.7738710890487
153,622.4638489342984
154,628.6653263871318
155,616.1538202393942
156,619.6590091452915
157,596.7705452205117
158,719.9805102133429
159,669.9404986692097
160,667.4501736029547
161,670.1481061678616
162,618.0090752639244
163,709.3618606655659
164,725.4249777096561
165,713.5531224049256
166,668.2321587163651
167,696.3713509903024
168,671.1871257807295
169,717.540755568506
170,749.5211918516069
171,778.5302905111553
172,703.3937341209358
173,669.9927056409017
174,790.8041503798834
175,765.0053972956996
176,745.5468700575818
177,767.7067519059556
178,742.3942205006852
179,752.1463620112283
180,879.2980489960461
181,885.6214673911895
182,831.9586740511518
183,791.5175573572346
184,824.7539438503121
185,989.2642614411427
186,958.3252369492202
187,950.7464681946274
188,938.1371245908815
189,830.3726267195973
190,808.7263040199655
191,965.2005558432434
192,960.9234607866406
193,935.8350147022616
194,969.2806536073543
195,920.8895250039584
196,1038.4373407396106
197,1044.4781710882369
198,1019.284277563144
199,974.4117937836141
200,988.3542989192188
201,1182.9884322083853
202,1081.3286314821626
203,1166.3925329957283
204,1110.197747372388
