,0
0,299.58538061313084
1,285.1262304328677
2,100.7627815774823
3,76.35927658593616
4,75.65759200224458
5,84.3413021161905
6,70.98704948499008
7,43.14709838162573
8,44.70579700750839
9,60.19475394923541
10,61.102484400901204
11,58.02792045524704
12,50.76355184025544
13,50.82450012911505
14,18.753799749925392
15,15.061275648235636
16,14.776011049609952
17,12.655631319132103
18,13.893996662470157
19,14.092824348205781
20,13.900975025556006
21,17.355473365219122
22,15.603344808860191
23,13.465800920237864
24,12.523423207507324
25,12.587201819673048
26,12.125315060826027
27,13.221128583528488
28,12.843534095953729
29,12.605862808736658
30,11.837786417646672
31,12.013658785834215
32,12.752720447431397
33,10.106650324050543
34,10.11035796321664
35,11.425706455360947
36,11.019499593220127
37,11.749563690333789
38,11.91255353796717
39,11.390206624482806
40,11.205538614263752
41,10.225472131785713
42,10.508244260935161
43,11.500338833532423
44,10.866607898585892
45,11.043441490887872
46,9.855479354280659
47,9.989449789612959
48,9.628675658621662
49,9.398013348004008
50,9.090129459893376
51,9.339624526790228
52,9.319156330380267
53,9.199558781838244
54,9.145913025536144
55,7.8680307123644955
56,6.816141261603551
57,6.105186744923066
58,6.1924701375497255
59,9.695393808531179
60,9.50269742098023
61,13.51687401349073
62,16.068585632323533
63,19.626468205565427
64,22.114524372358087
65,22.228140898988116
66,29.30610429514015
67,33.05905848623131
68,33.21357503156215
69,42.441372024208256
70,43.22811542690798
71,41.44189287801892
72,43.17689948870928
73,43.52958932135462
74,48.08060528111174
75,47.38745754658704
76,45.07670339699762
77,43.31862646890499
78,39.74608425238676
79,38.18192024967422
80,37.778747337014536
81,36.44549724277025
82,34.566812227104194
83,34.53768883255484
84,32.72107807982188
85,29.93946744397706
86,29.508203753160846
87,27.722264585191642
88,26.389185587076998
89,26.410391230896778
90,25.999613084801638
91,24.059236650851922
92,23.244924868491744
93,23.4234678468286
94,22.808607937066206
95,23.807180541641756
96,22.564128907773473
97,20.637943485195365
98,20.96098588293773
99,19.389499589308286
100,16.35919076424466
101,16.559478096140207
102,16.465510317730335
103,15.956570704981678
104,16.78874117831979
105,15.982472619698607
106,15.629195051855683
107,15.282890706377174
108,14.914012227992671
109,14.769580151333459
110,14.542745152387369
111,14.77432574927235
112,14.653839986902279
113,14.500303212133913
114,14.145066634214304
115,13.596419199809224
116,14.652363445468799
117,14.260224051072253
118,12.913406701430839
119,12.20445944616208
120,11.855727765317406
121,11.405376335297108
122,10.480267400479047
123,9.748027946942985
124,9.626093719615563
125,9.304393655263219
126,9.00942826356895
127,8.866004985496422
128,7.688144095478395
129,7.527753903302678
130,7.456728777453573
131,7.13149728416468
132,6.341835963163131
133,6.50784922965598
134,6.112108282154719
135,6.715252784359612
136,6.666921857664715
137,6.431305946710656
138,5.651110051126925
139,5.333133984394232
140,6.055642055380071
141,7.145609983817537
142,7.742643549505776
143,7.646452585777429
144,7.864641586015965
145,12.65141495026129
146,12.964445377021802
147,13.72696549195406
148,14.463346102018997
149,15.941704369671143
150,14.838730326927571
151,16.70534635691867
152,18.892224953425618
153,19.5623269198882
154,20.626510013484104
155,20.99710367272067
156,22.009639168563368
157,22.49986472005401
158,23.269317686593002
159,24.20928148688024
160,24.942775923978836
161,26.183716026428698
162,24.485489464848474
163,24.204813042133193
164,24.488252676398115
165,25.68575412654927
166,25.245459571080268
167,26.6971467226316
168,24.51979369018686
169,23.644352553600832
170,25.063584667235364
171,25.590860989945774
172,24.45628502625111
173,23.504447427859503
174,23.107755818017736
175,21.49975660132344
176,20.59883330069827
177,22.301103181652433
178,22.38919563536281
179,22.44559761161623
180,22.209268703647663
181,23.460894871514277
182,23.394220993081113
183,22.45285454448867
184,23.512038787030342
185,23.804611297632476
186,24.733316012749324
187,24.34081400850968
188,23.905140999097306
189,21.73595151638239
190,21.75244796627703
191,22.3538985541099
192,21.68849955703637
193,21.16526281969596
194,22.032659612994447
195,20.35151597109063
196,20.38336330617958
197,20.471978056258322
198,20.718770236116857
199,20.097536344387652
200,21.06872446941436
201,21.16484232469169
202,19.56871845880098
203,21.4254805863301
204,20.89794622833899
