,max_bodies,batch_size,num_bodies,time
0,100,32,2.0,3.972397804260254
1,100,32,2.0,0.6791024208068848
2,100,32,2.0,0.8195199966430664
3,100,32,2.0,0.7792658805847168
4,100,32,2.0,0.7848594188690186
5,100,32,2.0,0.8467953205108643
6,100,32,2.46875,0.7949283123016357
7,100,32,2.75,0.826221227645874
8,100,32,2.96875,0.7695605754852295
9,100,32,3.0,0.7328715324401855
10,100,32,3.0,0.8246383666992188
11,100,32,3.0,0.7554473876953125
12,100,32,3.0,0.918848991394043
13,100,32,3.0,0.7989521026611328
14,100,32,3.0,0.7681419849395752
15,100,32,3.0,0.7691512107849121
16,100,32,3.0,0.7795031070709229
17,100,32,3.0,0.9534728527069092
18,100,32,3.40625,0.7859787940979004
19,100,32,3.53125,0.8068282604217529
20,100,32,3.65625,0.7785923480987549
21,100,32,3.71875,0.7907662391662598
22,100,32,3.84375,0.7500624656677246
23,100,32,3.875,0.8094336986541748
24,100,32,3.9375,0.7605903148651123
25,100,32,3.96875,0.77402663230896
26,100,32,3.96875,0.8609778881072998
27,100,32,4.0,0.7259683609008789
28,100,32,4.0,0.7964015007019043
29,100,32,4.21875,0.7560856342315674
30,100,32,4.40625,0.7715520858764648
31,100,32,4.5,0.7808005809783936
32,100,32,4.5625,0.7280197143554688
33,100,32,4.59375,0.705183744430542
34,100,32,4.59375,0.7819242477416992
35,100,32,4.59375,0.7456443309783936
36,100,32,4.71875,0.6334860324859619
37,100,32,4.8125,0.7254626750946045
38,100,32,4.84375,0.6246500015258789
39,100,32,4.875,0.699448823928833
40,100,32,4.90625,0.7055478096008301
41,100,32,4.9375,0.73209547996521
42,100,32,4.9375,0.7413113117218018
43,100,32,5.0,0.776747465133667
44,100,32,5.0,0.8011863231658936
45,100,32,5.0,0.7626025676727295
46,100,32,5.0625,0.7668485641479492
47,100,32,5.09375,0.7990343570709229
48,100,32,5.25,0.7967991828918457
49,100,32,5.40625,0.8116121292114258
50,100,32,5.5625,0.7726693153381348
51,100,32,5.5625,0.6464121341705322
52,100,32,5.625,0.7402515411376953
53,100,32,5.6875,0.7158989906311035
54,100,32,5.8125,0.7779183387756348
55,100,32,5.90625,0.8448727130889893
56,100,32,5.90625,0.8129959106445312
57,100,32,5.9375,0.7936885356903076
58,100,32,5.96875,0.7727572917938232
59,100,32,5.96875,0.8137967586517334
60,100,32,5.96875,0.7965421676635742
61,100,32,5.96875,0.7891263961791992
62,100,32,5.96875,0.7482023239135742
63,100,32,6.03125,0.8094470500946045
64,100,32,6.03125,0.781489372253418
65,100,32,6.09375,0.7821395397186279
66,100,32,6.125,0.7487375736236572
67,100,32,6.40625,0.7600030899047852
68,100,32,6.53125,0.8415451049804688
69,100,32,6.625,0.7441227436065674
70,100,32,6.6875,0.7531273365020752
71,100,32,6.84375,0.7970771789550781
72,100,32,6.9375,0.7488176822662354
73,100,32,6.9375,0.806138277053833
74,100,32,6.96875,0.8049545288085938
75,100,32,6.96875,0.787316083908081
76,100,32,6.96875,0.8071956634521484
77,100,32,6.96875,0.8489372730255127
78,100,32,6.96875,0.8464474678039551
79,100,32,6.96875,0.8038840293884277
80,100,32,7.03125,0.9119284152984619
81,100,32,7.0625,0.7481751441955566
82,100,32,7.0625,0.7557353973388672
83,100,32,7.125,0.7299344539642334
84,100,32,7.15625,0.76822829246521
85,100,32,7.46875,0.7804579734802246
86,100,32,7.625,0.8009209632873535
87,100,32,7.75,0.8275587558746338
88,100,32,7.90625,0.8405609130859375
89,100,32,7.9375,0.8105416297912598
90,100,32,7.9375,0.8120975494384766
91,100,32,7.96875,0.8976955413818359
92,100,32,7.96875,0.8572497367858887
93,100,32,7.96875,0.8841185569763184
94,100,32,7.96875,0.8078107833862305
95,100,32,8.0,0.7949986457824707
96,100,32,8.0,0.802382230758667
97,100,32,8.03125,0.7613716125488281
98,100,32,8.125,0.7988250255584717
99,100,32,8.15625,0.683997392654419
100,100,32,8.4375,0.7579629421234131
101,100,32,8.59375,0.7667436599731445
102,100,32,8.65625,0.6774516105651855
103,100,32,8.71875,0.7611887454986572
104,100,32,8.875,0.7389061450958252
105,100,32,8.9375,0.7225341796875
106,100,32,8.9375,0.7523367404937744
107,100,32,8.96875,0.7717719078063965
108,100,32,8.96875,0.8147807121276855
109,100,32,9.0,0.8158719539642334
110,100,32,9.0,0.7566676139831543
111,100,32,9.03125,0.7158679962158203
112,100,32,9.03125,0.8104372024536133
113,100,32,9.0625,0.8851673603057861
114,100,32,9.0625,0.7975821495056152
115,100,32,9.09375,0.7972931861877441
116,100,32,9.21875,0.8290941715240479
117,100,32,9.46875,0.8407206535339355
118,100,32,9.65625,0.8357067108154297
119,100,32,9.75,0.868645429611206
120,100,32,9.875,0.9040136337280273
121,100,32,9.9375,0.8358991146087646
122,100,32,9.96875,0.9201562404632568
123,100,32,9.96875,0.8733606338500977
124,100,32,10.03125,0.8928711414337158
125,100,32,10.03125,0.854865312576294
126,100,32,10.03125,0.927588939666748
127,100,32,10.03125,0.8622474670410156
128,100,32,10.09375,0.8911223411560059
129,100,32,10.125,0.9022848606109619
130,100,32,10.21875,0.8588199615478516
131,100,32,10.34375,0.8629271984100342
132,100,32,10.53125,0.8629670143127441
133,100,32,10.59375,0.8844327926635742
134,100,32,10.65625,0.8128395080566406
135,100,32,10.75,0.8050224781036377
136,100,32,10.90625,0.7780330181121826
137,100,32,10.96875,0.7729122638702393
138,100,32,10.96875,0.7848410606384277
139,100,32,11.0,0.7370662689208984
140,100,32,11.03125,0.7519638538360596
141,100,32,11.03125,0.783984899520874
